SKU,ItemDescription,Series,ItemGroup,Category,L,W,H,D,Colour,Material,Tags,CreatedDate,LastUpdate
SKU,itemDescription,series,itemGroup,category,L,W,H,D,colour,material,tags,createdDate,lastUpdate
"<span class=""expander""  >TCVPSL-WRNA</span>","<span class=""expander""  >Leather - We're not afraid</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","14-03-2014 16:43:42"
"<span class=""expander""  >TPAL-BRE</span>","<span class=""expander""  >Pillow Alphabet B</span>","Pillow Alphabet",," Home Décor ",40,40,10,,Red,"Baby Canvas",,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TPAL-ACM</span>","<span class=""expander""  >Pillow Alphabet A</span>","Pillow Alphabet",," Home Décor ",40,40,10,,Cream,"Baby Canvas",,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TPAL-ABR</span>","<span class=""expander""  >Pillow Alphabet A</span>","Pillow Alphabet",," Home Décor ",40,40,10,,Brown,"Baby Canvas",,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TPAL-ABL</span>","<span class=""expander""  >Pillow Alphabet A</span>","Pillow Alphabet",," Home Décor ",40,40,10,,Blue,"Baby Canvas",,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TPAL-ABC</span>","<span class=""expander""  >Pillow Alphabet A</span>","Pillow Alphabet",," Home Décor ",40,40,10,,Black,"Baby Canvas",,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TPAL-ARE</span>","<span class=""expander""  >Pillow Alphabet A</span>","Pillow Alphabet",," Home Décor ",40,40,10,,Red,"Baby Canvas",,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPSL-COMEBW</span>","<span class=""expander""  >Leather - Come Brown</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPSL-COMEBL</span>","<span class=""expander""  >Leather - Come Blue</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPSL-COMEGR</span>","<span class=""expander""  >Leather - Come Green</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPSL-COMERD</span>","<span class=""expander""  >Leather - Come Red</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPSL-WNIBRW</span>","<span class=""expander""  >Leather - WNI Brown</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPSL-WNIBLU</span>","<span class=""expander""  >Leather - WNI Blue</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPSL-WNIGRN</span>","<span class=""expander""  >Leather - WNI Green</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPSL-WNIRED</span>","<span class=""expander""  >Leather - WNI Red</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPS-GORI</span>","<span class=""expander""  >Goni - Love RI</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPS-GOLOST</span>","<span class=""expander""  >Goni - Get Lost</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPS-GOCALM</span>","<span class=""expander""  >Goni - Keep Calm</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
"<span class=""expander""  >TCVPS-PLASTIC</span>","<span class=""expander""  >Plastik</span>","Cover Passport",,Lifestyle,19.5,,14,,,Leather,,"11-03-2014 13:05:04","11-03-2014 13:05:04"
